Entrada	Xénero complementario	Categoría	Sinónimos	Nota
traspoñer	  	 t pr 	traspor 	
trasto	  	 m 	traste=> 	
transtornar	  	 t pr 	trastornar> 	
tratable	  	 a 	tratábel 	
tratábel	  	 a 	tratable 	
travésde,de	  	 lpp 	través de, a 	
travésde,a	  	 lpp 	través de, de 	
través,de	  	 lav 	través, a 	
través,a	  	 lav 	través, de 	
couza	  	 f 	traza1 	
esparrela	  	 f 	trebello 	
torboada	  	 f 	treboada 	
torbón	  	 m 	trebón 	
técola	  	 f 	trécola=> 	
trenla	  	 f 	trela trelo rello1 	
rello1	  	 m 	trelo 	corda
trela	  	 f 	trelo trenla rello1 	
tremiñado	  	 m 	trémbora tremedal tremedeira tremesiña tremo 	
tremesiña	  	 f 	trémbora tremedal tremedeira tremiñado tremo 	
tremedeira	  	 f 	trémbora tremedal tremesiña tremiñado tremo 	
tremedal	  	 m 	trémbora tremedeira tremesiña tremiñado tremo 	
trémbora	  	 f 	tremedal tremedeira tremesiña tremiñado tremo 	
tremar	  	 i 	tremer=> 	
trema	  	 f 	tremo=> 	
tramoia	  	 f 	tremoia> 	
trincha	  	 f 	trencha 	
tripar	  	 t 	trepar 	
trébol	  	 m 	trevo> 	
tributable	  	 a 	tributábel 	
tributábel	  	 a 	tributable 	
tritio	  	 m 	tricio=> 	
trino	  	 m 	trilo> 	
trencha	  	 f 	trincha 	
trizar	  	 t 	trinzar> 	
trepar	  	 t i 	tripar 	
triple	  	 a 	triplo> 	
trisquel	  	 m 	tríscele> 	
triturable	  	 a 	triturábel 	
triturábel	  	 a 	triturable 	
troxo1	  	 m 	trocho1> 	
troxo2	 troxa 	 a 	trocho2> 	
troquisco	  	 m 	trocisco> 	
atrollar	  	 t i pr 	trollar 	
trullar	  	 t 	trollar=> 	
trullo	  	 m 	trollo1=> 	
toar	  	 i 	tronar 	
cimbrón	  	 m 	tronzador tronzón 	
farra	  	 f 	troula> 	
truel	  	 m 	trueiro 	
trueiro	  	 m 	truel 	
zar	  	 m 	tsar> 	
teutón	 teutoa 	 a s 	tudesco 	ant Xermania/Alemaña
Tm	  	 sb 	tulio 	
tuña	  	 f 	tulla=> 	
intumescencia	  	 f 	tumescencia 	
intumescente	  	 a 	tumescente 	
turkmeno	 turkmena 	 a s 	turcomán=> 	
remollada	  	 f 	ubrada 	
remollo2	  	 m 	ubre 	
urceira	  	 f 	uceira 	
uzal	  	 m 	uceira urceira 	
oler	  	 t i 	ulir> 	
hipercorrección	  	 f 	ultracorrección=> 	
ultrasensible	  	 a 	ultrasensíbel 	
ultrasensíbel	  	 a 	ultrasensible 	
infravermello	 infravermella 	 a 	ultravermello 	
olmo1	  	 m 	umeiro 	árbore
húmero	  	 m 	úmero> 	
unlla	  	 f 	uña 	
gatuña	  	 f 	uñagata 	
uñete	  	 m 	uñanco 	
unlleiro	  	 m 	uñeiro 	
uñanco	  	 m 	uñete 	
ungüis	  	 m 	ungüe> 	
unible	  	 a 	uníbel 	
uníbel	  	 a 	unible 	
alicorno	  	 m 	unicornio 	
unificable	  	 a 	unificábel 	
unificábel	  	 a 	unificable 	
uniformizar	  	 t 	uniformar> 	
uña	  	 f 	unlla 	
uñeiro	  	 m 	unlleiro 	
opa	  	 ix 	upa 	
opar	  	 t i 	upar 	
urálico	 urálica 	 a s 	uraliano 	Urais (Rusia)
uraliano	 uraliana 	 a s 	urálico 	Urais (Rusia)
U	  	 sb 	uranio 	
uz	  	 f 	urce 	
uceira	  	 f 	urceira 	
urdideira	  	 f 	urdidoira=> 	
zopilote	  	 m 	urubú 	
gusma	  	 s 	usma> 	
utilizable	  	 a 	utilizábel 	
utilizábel	  	 a 	utilizable 	
ouxa	  	 f 	uxa 	
urce	  	 f 	uz 	
morsa	  	 f 	vaca mariña 	
cornetán	  	 m 	vacaloura 	
vacuna	  	 f 	vacina> 	
vadeable	  	 a 	vadeábel 	
vadeábel	  	 a 	vadeable 	
lucecú	  	 m 	vagalume 	
baira	  	 f 	vaira> 	
dubrés	 dubresa 	 a s 	valdubrés 	Val do Dubra
valeroso	 valerosa 	 a 	valoroso> 	
V1	  	 sb 	vanadio 	
avantaxe	  	 f 	vantaxe> 	
avantaxoso	 avantaxosa 	 a 	vantaxoso> 	
varxa1	  	 f 	varcia 	
barcia	  	 f 	varcia> 	
varexador	  	 m 	vareador 	
escudir	  	 t 	varear varexar 	
bareixa	  	 f 	vareixa> 	
brelo	  	 m 	varelo> 	
varexo	  	 m 	vareo 	
vareador	  	 m 	varexador 	
baloirar	  	 t 	varexar 	cf abaloirar
vareo	  	 m 	varexo 	
barga	  	 f 	varga> 	rede
bargado	  	 m 	vargado> 	
bargo	  	 m 	vargo> 	
variable	  	 a f 	variábel 	
variablemente	  	 av 	variabelmente 	
variábel	  	 a f 	variable 	
variabelmente	  	 av 	variablemente 	
barrendero	 barrendera 	 a s 	varredor> 	
barrer	  	 t pr 	varrer> 	
barudo	 baruda 	 a 	varudo> 	
varcia	  	 f 	varxa1 	
barxa1	  	 f 	varxa1> 	terreo
basca	  	 f 	vasca> 	
bascallo	  	 m 	vascallo> 	
éuscaro	 éuscara 	 a m 	vasco 	
bascullo	  	 m 	vascullo> 	
basoira	  	 f 	vasoira> 	
basquiña	  	 f 	vasquiña> 	
wáter	  	 m 	váter> 	ing
cornella	  	 f 	vaxa 	
gaxa	  	 f 	vaxa=> 	vaíña
varxa2	  	 f 	vaxa=> 	
barxa2	  	 f 	vaxa> 	vaíña
cervo	 cerva 	 s 	veado1 	
eis	  	 av 	velaí> 	
avelaíña	  	 f 	velairiña voaniña voíña xoaniña 	
toisón	  	 m 	vélaro> 	
verlo2	  	 m 	vélaro> 	
belorizo	  	 m 	velorizo> 	
vencible	  	 a 	vencíbel 	
vencíbel	  	 a 	vencible 	
vendible	  	 a 	vendíbel 	
vendíbel	  	 a 	vendible 	
venerable	  	 a 	venerábel 	
venerábel	  	 a 	venerable 	
vío	  	 m 	veo1 	
beo	  	 m 	veo1> 	
verdoallo	  	 m 	verdeallo 	
verdeallo	  	 m 	verdoallo 	
brea3	  	 f 	verea> 	
vereda	  	 f 	verea> 	
bergallán	 bergallana 	 a s 	vergallán> 	
vergonza	  	 f 	vergoña 	
vergonzoso	 vergonzosa 	 a 	vergoñoso 	
vergoña	  	 f 	vergonza 	
vergoñoso	 vergoñosa 	 a 	vergonzoso 	
verificable	  	 a 	verificábel 	
verificábel	  	 a 	verificable 	
ronco1	  	 m 	verme 	
barniz	  	 m 	verniz> 	
verro	  	 m 	vérrago 	
vergo	  	 m 	vérrago=> 	
velro	  	 m 	vérrago> 	
verlo1	  	 m 	vérrago> 	
bérrago	  	 m 	vérrago> verro> 	
vérrago	  	 m 	verro 	
borroallo	  	 m 	verroallo> 	
berroallo	  	 m 	verroallo> verrún> 	
berroeira	  	 af 	verroeira> 	
cachazo1	  	 m 	verrón 	porco
berrón1	  	 m 	verrón> 	
borrón2	  	 m 	verrón> 	
vertedeiro	  	 m 	vertedoiro=> 	
vertido	  	 m 	vertedura=> 	
berza	  	 f 	verza> 	
besgo	 besga 	 a 	vesgo> 	
vertedeira	  	 f 	veso> 	
vestuario	  	 m 	vestiario> 	
beta2	  	 f 	veta> 	
betillo	  	 m 	vetillo> 	
viable	  	 a 	viábel 	
viábel	  	 a 	viable 	
virrei	  	 m 	vicerrei> 	
vinda	  	 f 	vida2 	
vidra	  	 f 	videira 	vide/embigueira
vindo	 vinda 	 pt 	vido 	vir
videira	  	 f 	vidra 	vide/embigueira
vidrería	  	 f 	vidraría 	
vidraría	  	 f 	vidrería 	
vicaría	  	 f 	vigairía> 	
vimia	  	 f 	vimbia vimbio vime 	
vime	  	 m 	vimbia vimbio vimia 	
vimbio	  	 m 	vimbia vime vimia 	
vimieiro	  	 m 	vimbieira 	
vimbia	  	 f 	vimbio vime vimia 	
vimbieira	  	 f 	vimieiro 	
vinculable	  	 a 	vinculábel 	
vinculábel	  	 a 	vinculable 	
vida2	  	 f 	vinda 	
vido	 vida 	 pt 	vindo 	vir
vintecatro	  	 num 	vinte e catro> 	
vintecinco	  	 num 	vinte e cinco> 	
vintedous	 vintedúas 	 num 	vinte e dous> 	
vintenove	  	 num 	vinte e nove> 	
vinteoito	  	 num 	vinte e oito> 	
vinteseis	  	 num 	vinte e seis> 	
vintesete	  	 num 	vinte e sete> 	
vintetrés	  	 num 	vinte e tres> 	
vinteún	 vinteúnha 	 num 	vinte e un> 	
veo1	  	 m 	vío 	
bío-2	  	 m 	vío> 	
brión	  	 m 	vío> 	
violable	  	 a 	violábel 	
violábel	  	 a 	violable 	
violonchelista	  	 s 	violoncellista 	
violonchelo	  	 m 	violoncello 	
violoncellista	  	 s 	violonchelista 	
violoncello	  	 m 	violonchelo 	??
brixeira	  	 f 	virxe> 	
visible	  	 a 	visíbel 	
visiblemente	  	 av 	visibelmente 	
visíbel	  	 a 	visible 	
visibelmente	  	 av 	visiblemente 	
vitrificable	  	 a 	vitrificábel 	
vitrificábel	  	 a 	vitrificable 	
vituperable	  	 a 	vituperábel 	
vituperábel	  	 a 	vituperable 	
voitirón	  	 m 	viturón 	
biturón	  	 m 	viturón> 	
po	  	 m 	voaxa 	
boda	  	 f 	voda> 	
boga2	  	 f 	voga> 	
bogar	  	 i 	vogar> 	
boíña	  	 f 	voíña> 	
viturón	  	 m 	voitirón 	
boitirón	  	 m 	voitirón> 	
buitre	  	 m 	voitre> 	
W1	  	 sb 	volframio 	
V2	  	 sb 	volt 	
voltio	  	 m 	volt=> 	
voluble	  	 a 	volúbel 	
volúbel	  	 a 	voluble 	
v2	  	 abrev 	volume 	
gomitar	  	 t i 	vomitar> 	
borcalladas,ás	  	 lav 	vorcalladas, ás> 	
Vde	  	 abrev 	vostede 	
vulnerable	  	 a 	vulnerábel 	
vulnerábel	  	 a 	vulnerable 	
bulto	  	 m 	vulto> 	
burullo	  	 m 	vurullo> 	
W2	  	 sb 	watt 	
vatio	  	 m 	watt=> 	
Wb	  	 sb 	wéber 	
xabarín	  	 m 	xabaril=> 	
xabrón	  	 m 	xabón=> 	
sábrego	  	 m 	xabre1 	
xabreiro1	  	 m 	xabreador 	
xabreador	  	 m 	xabreiro1 	
pernileiro	 pernileira 	 a m 	xamoneiro 	
champú	  	 m 	xampú=> 	
xagaz	  	 a 	xangal=> 	
xenízaro	  	 m 	xanízaro> 	
xenciana	  	 f 	xanzá 	
cuspido	 cuspida 	 a 	xarado 	
sarampelo	  	 m 	xarampón 	
cabala	  	 f 	xarda 	
xaroto	 xarota 	 a 	xardesco 	
xardinería	  	 f 	xardinaría 	
xardinaría	  	 f 	xardinería 	
xardesco	 xardesca 	 a 	xaroto 	
sarxa	  	 f 	xarxa 	
xastrería	  	 f 	xastraría 	
xastraría	  	 f 	xastrería 	
xábega	  	 f 	xávega> 	
xabalina	  	 f 	xavelina> 	
xexún	  	 m 	xaxún=> 	
equis	  	 m 	xe> 	
xeadería	  	 f 	xeadaría 	
xeadaría	  	 f 	xeadería 	
xalea	  	 f 	xelea> 	
necio2	 necia 	 a 	xémaro 	
xanzá	  	 f 	xenciana 	
xendarmería	  	 f 	xendarmaría 	
xendarmaría	  	 f 	xendarmería 	
xeneralizable	  	 a 	xeneralizábel 	
xeneralizábel	  	 a 	xeneralizable 	
Xe	  	 sb 	xenon 	[ks]
xío	  	 m 	xeo=> 	
xollo	  	 m 	xeonllo=> 	
hierarca	  	 m 	xerarca> 	
xargón	  	 m 	xergón> 	
Ge	  	 sb 	xermanio 	
hieróglifo	  	 m 	xeróglifo> 	
hierosolimitano	 hierosolimitana 	 a s 	xerosolimitano 	Xerusalén (Israel)
xarra	  	 f 	xerra=> 	
xarro	  	 m 	xerro=> 	
xironés	 xironesa 	 a s 	xerundense 	Xirona
silbarda	  	 f 	xibarda=> 	
chiíta	  	 a s 	xiíta 	
chilaba	  	 f 	xilaba> 	
pintasilgo	  	 m 	xílgaro picacardos 	
picacardos	  	 m 	xílgaro pintasilgo 	
chelín	  	 m 	xilin> 	
sintoísmo	  	 m 	xintoísmo> 	
mirasol	  	 m 	xirasol 	
zaragateiro	 zaragateira 	 s 	xirigato 	
xeringa	  	 f 	xiringa=> 	
xerundense	  	 a s 	xironés 	Xirona
cifrar2	  	 i 	xistrar 	cifra2
tiza	  	 f 	xiz> 	
axofrar	  	 t 	xofrar 	
S2	  	 sb 	xofre 	
xoiería	  	 f 	xoiaría 	
xoiaría	  	 f 	xoiería 	
chola2	  	 f 	xolda 	
xonio	 xonia 	 a s 	xónico 	ant Xonia (Grecia)
xónico	 xónica 	 a s 	xonio 	ant Xonia (Grecia)
xordén	  	 f 	xordeira 	
xordeira	  	 f 	xordén 	
parrocha	  	 f 	xouba 	
xudeu	 xudía 	 a s 	xudaico 	
xudería	  	 f 	xudaría 	
xudaría	  	 f 	xudería 	
xudaico	 xudaica 	 a s 	xudeu 	ant Xudea/Israel
xoncer	  	 t 	xunguir=> 	
zurreira	  	 f 	xurreira 	
zurro	  	 m 	xurro 	
purín	  	 m 	xurro> zurro> 	
xustapor	  	 t 	xustapoñer 	
xustapoñer	  	 t 	xustapor 	
xustificable	  	 a 	xustificábel 	
xustificábel	  	 a 	xustificable 	
chutador	 chutadora 	 s 	xutador=> 	
chutar	  	 t i 	xutar=> 	
chute	  	 m 	xute=> 	
sabela	  	 f 	zamborca=> 	
sabella	  	 f 	zamborca=> 	
tangonear	  	 t 	zangonear 	
zapatería	  	 f 	zapataría 	
zapataría	  	 f 	zapatería 	
zarapeto	 zarapeta 	 a s 	zarabeto=> 	
xirigato	 xirigata 	 s 	zaragateiro 	
cirolas	  	 fpl 	zaragolas 	
zarapalleiro	 zarapalleira 	 a s 	zarangalleiro 	
azarapallar	  	 t 	zarapallar> 	
zarangalleiro	 zarangalleira 	 a s 	zarapalleiro 	
cercellar	  	 i 	zarzallar=> 	
zarcear	  	 i 	zarzallar=> 	
ceta	  	 m 	zeta 	letra
cinc	  	 m 	zinc 	
zócalo	  	 m 	zócolo> 	
urubú	  	 m 	zopilote 	
trineo	  	 m 	zorra> 	
larexar	  	 t 	zoscar 	
zopo	 zopa 	 a 	zoupo=> 	
savia	  	 f 	zume> 	
seiva	  	 f 	zume> 	
chusmigar	  	 i 	zumegar 	
rezumar	  	 i 	zumegar=> 	
cochaino	 cochaina 	 a 	zurdo 	
xurreira	  	 f 	zurreira 	
xurro	  	 m 	zurro 	
zudre	  	 m 	zurro=> 	
cerullo	  	 m 	zurullo 	
a	  	  		
a1	  	 m 		letra
a2	  	 art 		
a3	  	 p 		
a4	  	 pp 		
á1	  	 cont 		a4(pp)+a2(art)
aposteriori	  	 lav 		lat
apriori	  	 lav 		lat
atergo	  	 lav 		
a-1	  	 pref 		lat (ad dirección)
abintestato	  	 lav 		lat
ab-	  	 pref 		lat separativo
abacá	  	 m 		
abacelamento	  	 m 		
abacelar	  	 t 		
abacial	  	 a 		
ábaco	  	 m 		
abada	  	 f 		< aba
abade	  	 s 		
abadengo	  	 m 		
abadesa	  	 f 		
abadexo	  	 m 		
abadía	  	 f 		
abaetado	 abaetada 	 a 		
abafadizo	 abafadiza 	 a 		
abafado	 abafada 	 pt a 		
abafador	 abafadora 	 a 		
abafallar	  	 t 		
abafallo	  	 m 		
abafamento	  	 m 		
abafante	  	 a 		
abafar	  	 t i pr 		
abafo	  	 m 		
abaixador	 abaixadora 	 a 		
abaixamento	  	 m 		
abaixar	  	 t pr 		
abaixo	  	 av 		
abaixode	  	 lpp 		
abaladura	  	 f 		
abalamento	  	 m 		
abalanzar	  	 t pr 		
abalar	  	 t pr 		
abalear	  	 t i pr 		
abaleiro	  	 m 		
aballoar1	  	 i 		< ballón
abalo	  	 m 		
abalocar	  	 pr 		
abaloira	  	 f 		cf baloira
abaloirar	  	 t pr 		cf baloirar
abalón	  	 m 		
abanador	  	 m 		
abanadura	  	 f 		
abanar	  	 t pr 		
abandeirar	  	 t 		
abandonadamente	  	 av 		
abandonado	 abandonada 	 pt a 		
abandonar	  	 t pr 		
abandono	  	 m 		
abandoxar	  	 t 		
abaneadura	  	 f 		
abanear	  	 t i pr 		
abaneo	  	 m 		
abaneón	  	 m 		
abanicar	  	 t 		
abanico	  	 m 		
abano	  	 m 		
abanqueiro	  	 m 		
abaratamento	  	 m 		
abaratar	  	 t i 		
abarbar	  	 t i 		
abarbeitar	  	 i 		
abarca	  	 f 		
abarcar	  	 t 		
abarcular	  	 i 		
abarloar	  	 t 		
abaroutar	  	 t 		cf baroutada
abarquiñar	  	 t i 		
abarregamento	  	 m 		
abarregar	  	 pr 		< barregán
abarrigar	  	 i 		
abarrotamento	  	 m 		
abarrotar	  	 t pr i 		
abasia	  	 f 		
abastamento	  	 m 		
abastanza	  	 f 		
abastardamento	  	 m 		
abastecedor	 abastecedora 	 a s 		
abastecemento	  	 m 		
abastecer	  	 t pr 		
abasto	  	 m 		
abatanar	  	 t 		
abatemento	  	 m 		
abater	  	 t pr 		
abdicación	  	 f 		
abdicar	  	 t i 		
abdome	  	 m 		
abdominal	  	 a 		
abdución	  	 f 		
abdutor	 abdutora 	 a m 		
abeberar	  	 t 		
abecé	  	 m 		
abecedario	 abecedaria 	 a m 		
abecerrar	  	 pr 		
abeiradoiro	  	 m 		
abeirar	  	 t pr 		
abeiro	  	 m 		
abelá	  	 f 		
abelanado	 abelanada 	 a 		
abeledo	  	 m 		
abella	  	 f 		
abellar	  	 i 		
abelleira	  	 f 		
abelleiro2	 abelleira 	 a 		
abelleiro1	  	 m 		
abelloar	  	 i 		
abellón	  	 m 		
abelmosco	  	 m 		
abelorio	  	 m 		
abelurio	  	 m 		
aberiota	  	 f 		
aberración	  	 f 		
aberrante	  	 a 		
aberta	  	 f 		
abertal	  	 a 		
abertamente	  	 av 		
aberto	 aberta 	 pt a 		
abertura	  	 f 		
abertzale	  	 a s 		
abertzalismo	  	 m 		
abesouro	  	 m 		
abestar	  	 pr 		
abesullón	 abesullona 	 a s 		
abeto	  	 m 		
abetumar	  	 t 		
abicadar	  	 t 		
abicar	  	 t 		
abichar	  	 i pr 		
abietáceas	  	 fpl 		
abietina	  	 f 		
abillar	  	 t 		
abiñadoira	  	 f 		
abiñar	  	 t 		
abiótico	 abiótica 	 a 		
abisal	  	 a 		
abisinio	 abisinia 	 a s 		Abisinia (Áf)
abismal	  	 a 		
abismar	  	 t 		
abismo	  	 m 		
abixeato	  	 m 		
ablación	  	 f 		
ablaqueación	  	 f 		
ablaquear	  	 t 		
ablativo	 ablativa 	 a m 		
ablegado	  	 m 		
ablución	  	 f 		
abnegación	  	 f 		
abnegadamente	  	 av 		
abnegado	 abnegada 	 a 		
aboador	 aboadora 	 a s 		
aboamento	  	 m 		aboar
aboar	  	 t 		< bo; acreditar pagar
abocadar	  	 t 		
abocañar	  	 t 		
abocar	  	 t 		
abofé	  	 av 		
aboiar2	  	 t 		< boia
aboiar1	  	 i 		< boi
abolar	  	 t i pr 		bolo
abolición	  	 f 		
abolicionismo	  	 m 		
abolicionista	  	 a s 		
abolir	  	 t 		
abominación	  	 f 		
abominar	  	 t 		
abonamento	  	 m 		
abonar	  	 t pr 		sgdo do fr 'coller un abono'
abondar	  	 i 		
abondo	 abonda 	 p av 		av invariable
abondoso	 abondosa 	 a 		
abono	  	 m 		non fertilizante
abordador	 abordadora 	 a 		
abordar	  	 t i 		
abordaxe	  	 f 		
aborixe	  	 a s 		
aborrallado	 aborrallada 	 pt a 		
aborrallar	  	 t pr 		
aborrecer	  	 t i pr 		
aborrecido	 aborrecida 	 pt a 		
abortar	  	 t i 		
abortista	  	 a s 		
abortivo	 abortiva 	 a m 		
aborto	  	 m 		
abotoar	  	 t i 		
abovedar	  	 t 		
abra	  	 f 		
abracadabra	  	 m 		
abracadabrante	  	 a 		
abraiar	  	 t i 		
abraio	  	 m 		
abrancazado	 abrancazada 	 a 		
abrandamento	  	 m 		
abrandar	  	 t i 		
abranguer	  	 t 		
abrasador	 abrasadora 	 a 		
abrasante	  	 a 		
abrasar	  	 t i pr 		
abrasión	  	 f 		
abrasivo	 abrasiva 	 a 		
abrazadeira	  	 f 		
abrazar	  	 t pr 		
abrazo	  	 m 		
abrebocas	  	 m 		
abrecartas	  	 m 		
abrelatas	  	 m 		
abrente	  	 m 		
abreviación	  	 f 		
abreviadamente	  	 av 		
abreviador	 abreviadora 	 a 		
abreviar	  	 t i 		
abreviativo	 abreviativa 	 a 		
abreviatura	  	 f 		
abrideira	  	 f 		
abrideiro	 abrideira 	 a 		
abridor	  	 m 		
abrigado	 abrigada 	 pt a 		
abrigadoiro	  	 m 		
abrigar	  	 t i pr 		
abrigo	  	 m 		
abrigoso	 abrigosa 	 a 		
abril	  	 m 		
abrileiro	 abrileira 	 a 		
abrillantador	 abrillantadora 	 a m 		
abrillantar	  	 t 		
abrir	  	 t i pr 		
abrocha	  	 f 		
abrochar	  	 t 		< broche
abrochar	  	 i 		< abrocho
abrocho	  	 m 		
abrogación	  	 f 		pronuncia [b-r]
abrogar	  	 t 		pronuncia [b-r]
abrollar	  	 i 		
abrollo	  	 m 		
abroquelar	  	 t 		
abrótano	  	 m 		
abruar	  	 t 		
abrucés	 abrucesa 	 a s 		Os Abruzos (It)
abruñal	  	 m 		
abruñedo	  	 m 		
abruñeiro	  	 m 		
abruño	  	 m 		
abruptamente	  	 av 		
abrupto	 abrupta 	 a 		
absceso	  	 m 		
abscisa	  	 f 		
abscisión	  	 f 		
absentismo	  	 m 		
absentista	  	 a s 		
absidal	  	 a 		
absidiola	  	 f 		
absintio	  	 m 		
absolto	 absolta 	 pt 		absolver
absolución	  	 f 		
absolutamente	  	 av 		
absolutismo	  	 m 		
absolutista	  	 a s 		
absoluto	 absoluta 	 a 		
absolutorio	 absolutoria 	 a 		
absolver	  	 t 		
absorbencia	  	 f 		
absorbente	  	 a 		
absorber	  	 t 		
absorción	  	 f 		
absorto	 absorta 	 a 		
abstemio	 abstemia 	 a 		
abstención	  	 f 		
abstencionismo	  	 m 		
abstencionista	  	 a s 		
abster	  	 t pr 		
absterxente	  	 a 		
absterxer	  	 t 		
abstinencia	  	 f 		
abstinente	  	 a 		
abstracción	  	 f 		
abstractamente	  	 av 		
abstractivo	 abstractiva 	 a 		
abstracto	 abstracta 	 a 		
abstraer	  	 t pr 		
abstrusamente	  	 av 		
abstruso	 abstrusa 	 a 		
absurdamente	  	 av 		
absurdeza	  	 f 		
absurdo	 absurda 	 a 		
abucinar	  	 t 		
abulense	  	 a s 		Ávila
abulia	  	 f 		
abúlico	 abúlica 	 a 		
abullar	  	 i 		
abundancia	  	 f 		
abundancial	  	 a 		
abundante	  	 a 		
abundantemente	  	 av 		
abundar	  	 i 		
abur	  	 ix 		
aburar	  	 t 		
aburguesamento	  	 m 		
aburguesar	  	 t pr 		
aburrido	 aburrida 	 a 		
aburrimento	  	 m 		
aburrir	  	 t pr 		
abusar	  	 i 		
abusivamente	  	 av 		
abusivo	 abusiva 	 a 		
abuso	  	 m 		
abusón	 abusona 	 a s 		
abxección	  	 f 		
abxecto	 abxecta 	 a 		
abxuración	  	 f 		
abxurar	  	 t i 		
acá	  	 av 		
acabado	 acabada 	 pt a 		
acabador	 acabadora 	 a s 		
acabalgar	  	 t pr 		
acabamento	  	 m 		
acabar	  	 t i pr 		
acabicornar	  	 t 		
acachoar	  	 i 		
acacia	  	 f 		
acadar	  	 t 		
acadarmar	  	 t 		
academia	  	 f 		
academicamente	  	 av 		
academicismo	  	 m 		
académico	 académica 	 a s 		
acadio	 acadia 	 a s 		Acadia (As)
acaecemento	  	 m 		
acaecer	  	 i 		
acalar	  	 t 		
acalcáreas	  	 fpl 		
acalentar	  	 t 		
acalmar	  	 t i 		
acaloradamente	  	 av 		
acaloramento	  	 m 		
acamar	  	 t 		
acamelado	 acamelada 	 pt a 		
acamelar	  	 t 		
acampada	  	 f 		
acampanado	 acampanada 	 a 		
acampar	  	 i 		
acanalado	 acanalada 	 pt a 		
acanalador	  	 m 		
acanaladura	  	 f 		
acanalar	  	 t 		
acaneadoiro	  	 m 		
acanear	  	 t i pr 		
acaneo	  	 m 		
acantáceas	  	 fpl 		
acantazar	  	 t 		
acantilado	  	 m 		
acantilar	  	 t 		
acanto	  	 m 		
acanto-	  	 pref 		gr 'espiña'
acantoamento	  	 m 		
acantoar	  	 t 		
acantocéfalos	  	 mpl 		
acantonamento	  	 m 		
acantonar	  	 t 		
acantopterixios	  	 mpl 		
acaparador	 acaparadora 	 a s 		
acaparamento	  	 m 		
acaparar	  	 t 		
acaramelado	 acaramelada 	 pt a 		
acaramelar	  	 t pr 		
acaravillar	  	 t 		
acarear	  	 t 		xurídico
acareo	  	 m 		xurídico
acariciador	 acariciadora 	 a 		
acariciante	  	 a 		
acariciar	  	 t 		
acariñador	 acariñadora 	 a 		
acariñar	  	 t 		
ácaro	  	 m 		
acaroar	  	 t 		
ácaros	  	 mpl 		
acarreirar	  	 t pr 		
acartonar	  	 t pr 		
acartuchar	  	 t 		
acarunchar	  	 pr 		
acaso	  	 m av 		
acastañado	 acastañada 	 a 		
acastroar	  	 t pr 		
acatamento	  	 m 		
acatar	  	 t 		
acatarrar	  	 t pr 		
acaudillar	  	 t 		
acaule	  	 a 		
accedente	  	 a 		
acceder	  	 i 		
accesibilidade	  	 f 		
accesión	  	 f 		
accésit	  	 m 		
acceso	  	 m 		
accesoriamente	  	 av 		
accesorio	 accesoria 	 a m 		
accidentado	 accidentada 	 pt a 		
accidental	  	 a 		
accidentalmente	  	 av 		
accidentar	  	 pr 		
accidente	  	 m 		
acción	  	 f 		
accionar	  	 t 		
accionista	  	 s 		
accipiteriformes	  	 mpl 		
acea	  	 f 		
aceal	  	 m 		
acebre	  	 m 		
aceda	  	 f 		
acedamente	  	 av 		
acedamento	  	 m 		
acedar	  	 t pr 		
acedía	  	 f 		
acedo	 aceda 	 a 		
acedume	  	 m 		
acefalia	  	 f 		
acéfalo	 acéfala 	 a 		
aceiramento	  	 m 		
aceirar	  	 t 		
aceiro	  	 m 		
aceirudo	 aceiruda 	 a 		
aceitar	  	 t 		aceite
aceite	  	 m 		
aceiteira	  	 f 		
aceiteiro	 aceiteira 	 a s 		
aceitoso	 aceitosa 	 a 		
aceleración	  	 f 		
aceleradamente	  	 av 		
acelerador	 aceleradora 	 a m 		
aceleramento	  	 m 		
acelerante	  	 m 		
acelerar	  	 t pr 		
aceleratriz	  	 af 		f de acelerador
acelerógrafo	  	 m 		
acelerómetro	  	 m 		
acelga	  	 f 		
acendalla	  	 f 		
acendedor	 acendedora 	 a m 		
acendemento	  	 m 		
acender	  	 t pr 		
acendidamente	  	 av 		
acendido	 acendida 	 pt a 		
acento	  	 m 		
acentuación	  	 f 		
acentuadamente	  	 av 		
acentuado	 acentuada 	 pt a 		
acentual	  	 a 		
acentuar	  	 t pr 		
acepción	  	 f 		
acepilladora	  	 f 		
acepilladura	  	 f 		
acepillar	  	 t 		
aceptabilidade	  	 f 		
aceptación	  	 f 		
aceptante	  	 a s 		
aceptar	  	 t 		
aceráceas	  	 fpl 		
acerbamente	  	 av 		
acerbidade	  	 f 		
acerbo	 acerba 	 a 		
acercade	  	 lpp 		
acercamento	  	 m 		
acercar	  	 t 		
acernador	 acernadora 	 s 		
acernadura	  	 f 		
acerrimamente	  	 av 		
acérrimo	 acérrima 	 a 		
acerriquitar	  	 t 		
acertadamente	  	 av 		
acertado	 acertada 	 pt a 		
acertar	  	 t i 		
acerto	  	 m 		
acervo	  	 m 		
aceso	 acesa 	 pt a 		acender
acetal	  	 m 		
acetaldehido	  	 m 		
acetato	  	 m 		
acético	 acética 	 a 		
acetificación	  	 f 		
acetificar	  	 t 		
acetil	  	 m 		
acetileno	  	 m 		
acetímetro	  	 m 		
acetona	  	 f 		
acetoso	 acetosa 	 a 		
achacar	  	 t 		
